Sample	min:D11:0	max:D11:0	min:D11:1	max:D11:1	min:D11:2	max:D11:2	min:D11:3	max:D11:3	min:D11:4	max:D11:4	min:D11:5	max:D11:5	min:D11:6	max:D11:6	min:D11:7	max:D11:7
1843	0.6345017745985047	0.9445106665173171	0.6345017745985047	21.441975759865983	0.6345017745985047	0.6526946368524307	0.6345017745985047	0.6526946368524307	0.6345017745985047	0.6526946368524307	0.6345017745985047	0.6526946368524307	13.748112930073546	41.96313250577313	26.33119713315017	174.24809386457054
1844	0.6669745745855664	0.8821484048037291	0.6669745745855664	20.899323930255377	0.6669745745855664	0.8821484048037291	0.6669745745855664	0.6697555140427767	0.6669745745855664	0.6697555140427767	0.6669745745855664	0.6697555140427767	15.484841393342919	40.83884837667023	25.932963835471156	185.2031479123059
1845	0.6972198868062662	1.4453651067774445	0.6972198868062662	20.23941843486186	0.6972198868062662	1.4453651067774445	0.6972198868062662	1.4453651067774445	0.6972198868062662	5.4810736119794115	0.6972198868062662	1.4453651067774445	14.873843361874151	39.29750792115408	25.040834969301827	137.1144786954555
1846	0.7006125615281462	0.70292488846232	0.7006125615281462	20.41305217802281	0.7006125615281462	1.571343440950585	0.7006125615281462	0.70292488846232	0.7006125615281462	0.70292488846232	0.7006125615281462	0.70292488846232	12.888302158477728	39.91175595660553	28.05880945563493	158.4129842585068
1847	0.6746914152173815	1.7827891839955896	0.6746914152173815	23.740145838061437	0.6746914152173815	1.7827891839955896	0.6746914152173815	1.7827891839955896	0.6746914152173815	4.457419906519306	0.6746914152173815	1.7827891839955896	14.619595674393423	39.250138425857145	28.320637053213986	153.1674444082655
1848	0.6965792397014923	0.7107655821617129	0.6965792397014923	23.441453278047362	0.6965792397014923	0.7107655821617129	0.6965792397014923	0.7107655821617129	0.6965792397014923	0.7107655821617129	0.6965792397014923	0.7107655821617129	14.499935559576045	38.48063254034261	28.702626061022386	169.3004002930014
1849	0.6749815350196968	1.5615627391499913	0.6749815350196968	22.198731664968108	0.6749815350196968	1.5615627391499913	0.6749815350196968	1.5615627391499913	0.6749815350196968	4.5402355404741	0.6749815350196968	1.5615627391499913	13.419315594782518	39.46794781625087	26.985010547802716	173.9791512563269
1850	0.6964957415678441	1.5095463556875188	0.6964957415678441	19.777618979613067	0.6964957415678441	1.5095463556875188	0.6964957415678441	1.5095463556875188	0.6964957415678441	5.058525872070675	0.6964957415678441	1.5095463556875188	13.35478804912691	37.68875679219215	24.031360214167023	157.4138842644844
1851	0.6546742220895112	0.6558066958431255	0.6546742220895112	21.82065152667144	0.6546742220895112	0.6558066958431255	0.6546742220895112	0.6558066958431255	0.6546742220895112	0.6558066958431255	0.6546742220895112	0.6558066958431255	12.810944770387806	36.44396639005524	30.18468441856629	176.44365046215282
1852	0.6580155920402717	0.7054344387857157	0.6580155920402717	21.65596513652406	0.6580155920402717	1.2189699338796345	0.6580155920402717	0.7054344387857157	0.6580155920402717	0.7054344387857157	0.6580155920402717	0.7054344387857157	13.822542347223418	38.82593276973677	25.83107310884489	184.38293998056085
