iteration	time	leafsWith	leafsWithout	resultingClade	incomingClade	segments
8	3.2845395433799354	25	2	HPAI	LPAI	{4, 6}
8	3.2471276621615743	25	5	HPAI	LPAI	{4, 6}
8	1.4583460356690239	1	2	HPAI	LPAI	{4, 5, 7}
8	3.629917581579946	1	1	LPAI	LPAI	{2}
8	1.5907922259193583	1	3	HPAI	LPAI	{4}
8	1.5803437639204958	1	1	HPAI	LPAI	{4}
8	0.5028120973459522	1	1	HPAI	LPAI	{7}
8	2.648591550566664	1	2	HPAI	HPAI	{1, 4}
8	156.17758848491601	6	358	LPAI	LPAI	{4}
8	2.1456502073435786	1	1	LPAI	LPAI	{3}
8	2.8942182556091325	4	1	HPAI	LPAI	{5, 6}
9	2.6347880963350008	1	1	HPAI	HPAI	{2}
9	1.4695057276598504	1	2	HPAI	LPAI	{4, 5, 7}
9	2.4118662559581594	1	1	HPAI	HPAI	{3, 6}
9	0.5278541009793116	1	3	HPAI	LPAI	{6}
9	1.695505770176453	2	1	HPAI	LPAI	{4, 6}
9	3.0664522946790953	1	1	HPAI	HPAI	{1, 4}
9	10.009253319428694	1	3	LPAI	LPAI	{1, 3, 4, 6, 7}
9	0.8033179435208808	27	8	HPAI	LPAI	{1}
9	345.5929614743414	370	6	unknown	LPAI	{2, 6}
9	0.4362703111074211	1	1	HPAI	LPAI	{1}
9	1.6208701057566373	1	3	HPAI	LPAI	{4}
9	1.5044632845612114	1	1	HPAI	LPAI	{4}
9	2.8705326825361226	17	1	HPAI	LPAI	{5, 6, 7}
9	2.6955613718828886	62	2	HPAI	HPAI	{4, 5, 6, 7}
9	7.696899426955611	1	1	LPAI	LPAI	{2, 7}
9	2.445149221992665	1	2	LPAI	LPAI	{5, 6}
9	0.5791773435342975	1	5	HPAI	LPAI	{7}
9	287.72024894841286	4	2	LPAI	unknown	{7}
9	88.03911017875828	3	355	LPAI	unknown	{1}
9	3.1218643846704595	4	4	HPAI	LPAI	{3}
9	3.8079400257129805	1	1	LPAI	LPAI	{2}
9	3.3731155507842914	54	6	HPAI	LPAI	{4, 5, 6}
9	1.1622553564523628	35	1	HPAI	LPAI	{4, 6, 7}
9	1.928976781147071	6	1	HPAI	LPAI	{6, 7}
9	3.24436644029646	25	5	HPAI	LPAI	{4, 6}
9	8.21233281642617	2	1	LPAI	LPAI	{1}
9	1.5315911939831608	28	2	HPAI	LPAI	{4, 6}
9	148.51653407695852	3	3	LPAI	unknown	{1}
9	0.6040312743620007	1	2	HPAI	HPAI	{5, 6, 7}
9	4.591743057209783	302	44	HPAI	HPAI	{1, 6}
9	2.7673638920680332	5	4	HPAI	LPAI	{6}
9	2.2343974253106467	1	1	LPAI	LPAI	{1, 3, 6, 7}
9	3.2670323444812084	25	2	HPAI	LPAI	{4, 6}
9	2.623272383079609	1	3	HPAI	HPAI	{1, 2, 4}
9	2.545058631262691	1	2	HPAI	HPAI	{1, 4}
9	3.222249072510351	9	3	HPAI	HPAI	{1, 3, 5, 7}
9	2.8528172092068758	4	1	HPAI	LPAI	{5, 6}
9	2.8366354413826684	1	2	HPAI	HPAI	{3}
9	3.2519114281061547	30	23	HPAI	LPAI	{7}
