Sample	min:cow:0	max:cow:0	min:cow:1	max:cow:1	min:cow:2	max:cow:2	min:cow:3	max:cow:3	min:cow:4	max:cow:4	min:cow:5	max:cow:5	min:cow:6	max:cow:6	min:cow:7	max:cow:7
30	1.0779459149178763	1.4220400479254636	1.0779459149178763	1.4220400479254636	1.0779459149178763	1.739712952823993	1.0779459149178763	1.739712952823993	1.0779459149178763	6.826067259135158	1.0779459149178763	1.4220400479254636	1.0779459149178763	3.2159741077718706	1.0779459149178763	1.4220400479254636
31	1.1058645524495603	1.4504714695710277	1.1058645524495603	1.4504714695710277	1.1058645524495603	1.7923323467807108	1.1058645524495603	1.7923323467807108	1.1058645524495603	6.75230774293027	1.1058645524495603	1.4504714695710277	1.1058645524495603	2.713390324981077	1.1058645524495603	1.4504714695710277
32	1.067510096798344	1.3547376843565644	1.067510096798344	1.3547376843565644	1.067510096798344	1.730379724458004	1.067510096798344	1.730379724458004	1.067510096798344	7.885029942578484	1.067510096798344	1.3547376843565644	1.067510096798344	3.27599495956855	1.067510096798344	1.6127638478410802
33	1.0440410736730712	1.5456121394768445	1.0440410736730712	1.5456121394768445	1.0440410736730712	1.5272625580787462	1.0440410736730712	1.5972716533540279	1.0440410736730712	6.782141137744844	1.0440410736730712	1.5456121394768445	1.0440410736730712	3.112747682843093	1.0440410736730712	1.5456121394768445
34	1.0583226774805041	1.5216907536966175	1.0583226774805041	1.5216907536966175	1.0583226774805041	1.7599182568528988	1.0583226774805041	1.7599182568528988	1.0583226774805041	6.6381591037677765	1.0583226774805041	1.7396426575780026	1.0583226774805041	3.0662495443581292	1.0583226774805041	1.5216907536966175
35	1.0315253625453806	1.455685226738808	1.0315253625453806	1.455685226738808	1.0315253625453806	1.754306964025801	1.0315253625453806	1.682526962173398	1.0315253625453806	7.589633036220846	1.0315253625453806	1.455685226738808	1.0315253625453806	3.0572627244970647	1.0315253625453806	1.455685226738808
36	1.0624158944672502	1.4850830896639593	1.0624158944672502	1.4850830896639593	1.0624158944672502	1.7543318501791134	1.0624158944672502	1.4850830896639593	1.0624158944672502	6.802696840589988	1.0624158944672502	1.4850830896639593	1.0624158944672502	2.987672468787025	1.0624158944672502	1.4850830896639593
37	1.0370609121654866	1.5309103990300343	1.0370609121654866	1.5309103990300343	1.0370609121654866	1.5309103990300343	1.0370609121654866	1.6251892335164655	1.0370609121654866	7.4225319522267625	1.0370609121654866	1.5309103990300343	1.0370609121654866	3.132093074742812	1.0370609121654866	1.5309103990300343
38	1.0730504355660742	1.4876968874291947	1.0730504355660742	1.4876968874291947	1.0730504355660742	1.4876968874291947	1.0730504355660742	1.6221741282196263	1.0730504355660742	7.295406124417866	1.0730504355660742	1.4876968874291947	1.0730504355660742	3.033781111203325	1.0730504355660742	1.4876968874291947
39	1.1066107542281145	1.4821303139704867	1.1066107542281145	1.4821303139704867	1.1066107542281145	1.4942143697262225	1.1066107542281145	1.4942143697262225	1.1066107542281145	6.063027184588435	1.1066107542281145	1.4821303139704867	1.1066107542281145	3.1348767886438225	1.1066107542281145	1.562152406852647
