#node	date	numeric date
A/Canada_goose/New_York/23-006664-001-original/2023|EPI_ISL_17964881|2023-02-27	2023-02-27	2023.157534
NODE_0000227	2023-02-28	2023.160274
A/red-tailed_hawk/Pennsylvania/23-009486-001-original/2023|EPI_ISL_17964914|2023-02-28	2023-02-28	2023.160274
NODE_0000228	2023-03-14	2023.198630
A/American_crow/Pennsylvania/23-015045-001-original/2023|EPI_ISL_17964967|2023-03-14	2023-03-14	2023.198630
NODE_0000229	2023-03-16	2023.204110
A/peregrine_falcon/New_York/23-009036-001-original/2023|EPI_ISL_17964899|2023-03-16	2023-03-16	2023.204110
NODE_0000230	2023-03-20	2023.215068
A/American_crow/New_York/23-016152-002-original/2023|EPI_ISL_17964975|2023-05-18	2023-05-18	2023.376712
A/bald_eagle/Pennsylvania/23-015042-001-original/2023|EPI_ISL_17964965|2023-03-20	2023-03-20	2023.215068
NODE_0000232	2022-03-03	2022.168253
NODE_0002664	2022-04-11	2022.275342
A/Backyard_bird/Minnesota/USDA-010928-002/2022|EPI_ISL_18133185|2022-04-11	2022-04-11	2022.275342
A/chicken/Minnesota/22-010928-001-original/2022|EPI_ISL_15004376|2022-04-11	2022-04-11	2022.275342
A/guinea_fowl/Minnesota/22-010928-003-original/2022|EPI_ISL_15004378|2022-04-11	2022-04-11	2022.275342
